maintenance_id,equipment_id,date,failure_type,downtime_hours,cost
1,19,2024-07-15,Usure,35.5,4834.22
2,11,2023-01-01,Corrosion,22.5,1874.86
3,29,2023-11-08,Corrosion,41.3,2332.21
4,35,2023-10-21,Panne mécanique,14.1,3119.73
5,20,2023-08-04,Panne mécanique,10.6,3452.97
6,40,2024-03-16,Usure,40.1,4012.8
7,34,2024-08-16,Fuite,16.3,4204.17
8,1,2024-09-13,Usure,20.4,7107.89
9,36,2024-11-01,Fuite,38.3,7888.81
10,20,2023-11-26,Panne mécanique,30.9,4978.75
11,7,2024-04-21,Panne électrique,21.8,13655.8
12,9,2024-03-28,Usure,12.7,8520.53
13,17,2024-03-28,Panne électrique,36.9,11918.42
14,8,2024-11-22,Fuite,9.5,13901.45
15,7,2023-08-07,Usure,44.6,2865.46
16,36,2024-06-07,Panne électrique,8.1,6704.18
17,10,2024-04-29,Panne électrique,38.8,6781.55
18,18,2023-06-23,Usure,20.9,5639.85
19,19,2024-11-05,Panne électrique,9.7,629.14
20,39,2023-03-28,Usure,19.9,12331.6
21,14,2023-10-18,Panne électrique,11.4,2117.61
22,22,2024-06-11,Panne mécanique,7.4,14934.47
23,14,2024-11-10,Usure,12.2,11707.9
24,17,2024-10-10,Panne mécanique,41.8,8910.15
25,33,2024-09-26,Corrosion,6.0,2741.79
26,32,2023-12-10,Panne mécanique,46.7,7973.2
27,17,2023-04-06,Panne électrique,1.2,4286.08
28,4,2023-08-29,Fuite,31.9,4158.68
29,6,2024-11-19,Panne mécanique,41.3,12528.17
30,28,2023-11-14,Panne mécanique,44.9,6019.34
31,18,2023-08-19,Panne mécanique,7.8,7035.5
32,3,2023-07-23,Fuite,33.8,12722.99
33,1,2023-05-31,Fuite,6.0,1772.96
34,22,2023-01-26,Panne mécanique,17.6,9121.96
35,9,2023-02-17,Corrosion,35.4,8884.13
36,17,2023-09-08,Fuite,17.3,6665.61
37,11,2024-05-01,Fuite,15.7,12531.73
38,29,2024-09-17,Fuite,6.5,14171.91
39,36,2023-03-16,Usure,4.1,7247.37
40,28,2024-04-11,Panne mécanique,6.4,7114.13
41,36,2024-02-29,Corrosion,42.1,7779.92
42,1,2024-10-06,Fuite,1.5,10985.3
43,8,2024-08-12,Usure,33.6,10186.87
44,5,2023-07-19,Panne électrique,37.1,3731.11
45,10,2024-12-14,Panne électrique,27.7,1426.48
46,35,2024-01-29,Fuite,35.3,14264.18
47,3,2024-05-21,Corrosion,31.7,4285.51
48,24,2024-02-14,Corrosion,22.4,9759.65
49,38,2023-09-07,Panne mécanique,19.0,12512.35
50,36,2023-06-01,Fuite,45.2,4854.01
51,10,2024-11-02,Panne électrique,46.7,9713.78
