production_id,well_id,date,barrels_extracted,cost
1,1,2023-01-01,310.9,3120.62
2,1,2023-01-02,422.9,5193.97
3,1,2023-01-03,379.5,4009.26
4,1,2023-01-04,369.6,4136.73
5,1,2023-01-05,373.1,4328.17
6,1,2023-01-06,411.7,5000.79
7,1,2023-01-07,396.7,3647.34
8,1,2023-01-08,376.7,3184.75
9,1,2023-01-09,374.0,3247.43
10,1,2023-01-10,422.6,5404.99
11,1,2023-01-11,360.7,4135.67
12,1,2023-01-12,387.7,3194.88
13,1,2023-01-13,385.5,4872.4
14,1,2023-01-14,405.0,4123.51
15,1,2023-01-15,480.1,4461.76
16,1,2023-01-16,430.2,6361.82
17,1,2023-01-17,399.6,5774.8
18,1,2023-01-18,420.4,3623.47
19,1,2023-01-19,360.9,3572.85
20,1,2023-01-20,342.8,4731.61
21,1,2023-01-21,350.3,4132.68
22,1,2023-01-22,364.9,3279.11
23,1,2023-01-23,410.9,5383.54
24,1,2023-01-24,420.5,5633.58
25,1,2023-01-25,386.0,3401.14
26,1,2023-01-26,372.9,5236.13
27,1,2023-01-27,345.1,2914.03
28,1,2023-01-28,427.0,4345.86
29,1,2023-01-29,429.5,5353.19
30,1,2023-01-30,364.2,5175.18
31,1,2023-01-31,359.8,4674.4
32,1,2023-02-01,390.0,5196.9
33,1,2023-02-02,439.4,5033.75
34,1,2023-02-03,403.0,4698.31
35,1,2023-02-04,379.8,3325.12
36,1,2023-02-05,390.4,3208.98
37,1,2023-02-06,347.7,4019.12
38,1,2023-02-07,425.0,6100.53
39,1,2023-02-08,375.4,4989.14
40,1,2023-02-09,345.2,3314.62
41,1,2023-02-10,385.5,3519.33
42,1,2023-02-11,378.8,5495.0
43,1,2023-02-12,407.9,5751.84
44,1,2023-02-13,428.6,5839.34
45,1,2023-02-14,435.3,6212.19
46,1,2023-02-15,397.6,4066.07
47,1,2023-02-16,384.0,4220.19
48,1,2023-02-17,380.5,5222.72
49,1,2023-02-18,308.6,2948.23
50,1,2023-02-19,402.9,3561.11
51,1,2023-02-20,406.2,4169.01
52,1,2023-02-21,386.8,4498.6
53,1,2023-02-22,362.3,5363.09
54,1,2023-02-23,436.1,6426.57
55,1,2023-02-24,391.3,3954.91
56,1,2023-02-25,339.3,3390.77
57,1,2023-02-26,395.1,4551.03
58,1,2023-02-27,378.3,3162.38
59,1,2023-02-28,406.9,3937.16
60,1,2023-03-01,383.7,3458.56
61,1,2023-03-02,402.5,3901.84
62,1,2023-03-03,391.5,4974.6
63,1,2023-03-04,367.4,4811.81
64,1,2023-03-05,416.0,4399.49
65,1,2023-03-06,435.9,5122.01
66,1,2023-03-07,435.5,3759.03
67,1,2023-03-08,376.2,3500.47
68,1,2023-03-09,420.7,3485.55
69,1,2023-03-10,445.3,3614.07
70,1,2023-03-11,419.1,4854.96
71,1,2023-03-12,412.0,3798.94
72,1,2023-03-13,353.1,4533.01
73,1,2023-03-14,411.1,3684.28
74,1,2023-03-15,386.5,4014.55
75,1,2023-03-16,380.3,4799.39
76,1,2023-03-17,409.0,5611.49
77,1,2023-03-18,434.4,4210.24
78,1,2023-03-19,471.3,4077.48
79,1,2023-03-20,346.2,3615.51
80,1,2023-03-21,428.9,5610.17
81,1,2023-03-22,410.8,3528.51
82,1,2023-03-23,429.6,3923.26
83,1,2023-03-24,398.5,3213.45
84,1,2023-03-25,418.0,3640.75
85,1,2023-03-26,396.8,5096.42
86,1,2023-03-27,353.0,4435.52
87,1,2023-03-28,414.4,4003.15
88,1,2023-03-29,361.3,3712.86
89,1,2023-03-30,415.4,5793.24
90,1,2023-03-31,431.1,5433.26
91,1,2023-04-01,363.9,3848.11
92,1,2023-04-02,395.8,3900.83
93,1,2023-04-03,418.8,5200.47
94,1,2023-04-04,383.6,5203.12
95,1,2023-04-05,477.1,5461.55
96,1,2023-04-06,394.0,3690.93
97,1,2023-04-07,360.8,2947.84
98,1,2023-04-08,421.8,5280.0
99,1,2023-04-09,387.1,5716.7
100,1,2023-04-10,414.3,6108.94
101,1,2023-04-11,376.8,4029.86
102,1,2023-04-12,415.4,5798.28
103,1,2023-04-13,361.8,4305.09
104,1,2023-04-14,374.8,5454.68
105,1,2023-04-15,410.7,3565.23
106,1,2023-04-16,446.3,5492.07
107,1,2023-04-17,424.1,5592.25
108,1,2023-04-18,392.5,5054.73
109,1,2023-04-19,360.7,3626.78
110,1,2023-04-20,434.3,5934.53
111,1,2023-04-21,400.4,5762.43
112,1,2023-04-22,398.9,4618.63
113,1,2023-04-23,436.0,5471.07
114,1,2023-04-24,391.0,5048.89
115,1,2023-04-25,398.0,4125.9
116,1,2023-04-26,396.2,4211.66
117,1,2023-04-27,395.9,3266.55
118,1,2023-04-28,363.7,4095.52
119,1,2023-04-29,334.4,4058.34
120,1,2023-04-30,401.9,3300.63
121,1,2023-05-01,362.5,4225.43
122,1,2023-05-02,380.1,5088.9
123,1,2023-05-03,407.8,3506.37
