sale_id,date,field_id,product_type,quantity_barrels,price_per_barrel,revenue
1,2023-09-15,4,Gaz naturel,1913,77.78,148793.14
2,2023-08-25,6,Brut,1405,61.57,86505.85
3,2023-05-04,3,Condensats,3891,94.32,366999.12
4,2023-07-17,6,Condensats,4491,93.46,419728.86
5,2023-11-20,4,Brut,2722,87.08,237031.76
6,2023-05-03,1,Gaz naturel,611,61.94,37845.34
7,2024-07-02,2,Condensats,3879,75.06,291157.74
8,2024-12-07,1,Gaz naturel,4373,74.34,325088.82
9,2023-07-09,1,Condensats,3651,79.53,290364.03
10,2023-07-16,3,Gaz naturel,2444,61.96,151430.24
11,2023-08-10,4,Brut,3000,74.83,224490.0
12,2024-05-10,1,Condensats,912,86.52,78906.24
13,2023-10-11,1,Condensats,4568,94.93,433640.24
14,2024-08-26,2,Condensats,3151,80.84,254726.84
15,2024-06-21,5,Condensats,685,92.92,63650.2
16,2024-09-03,2,Condensats,2076,94.95,197116.2
17,2023-10-17,4,Brut,3658,75.22,275154.76
18,2023-04-13,4,Condensats,4577,83.4,381721.8
19,2023-07-18,3,Condensats,550,67.46,37103.0
20,2023-10-31,6,Gaz naturel,1669,76.65,127928.85
21,2023-08-21,6,Condensats,4950,62.74,310563.0
22,2024-01-05,6,Gaz naturel,535,61.02,32645.7
23,2023-07-03,5,Brut,776,91.25,70810.0
24,2023-11-06,4,Gaz naturel,2964,90.04,266878.56
25,2023-01-15,5,Gaz naturel,1388,70.92,98436.96
26,2024-12-26,6,Brut,903,75.99,68618.97
27,2024-06-30,6,Brut,3113,77.28,240572.64
28,2023-05-10,2,Gaz naturel,2988,78.22,233721.36
29,2023-10-08,4,Gaz naturel,4485,64.71,290224.35
30,2023-02-16,6,Brut,3539,87.13,308353.07
31,2023-02-25,1,Brut,2622,72.17,189229.74
32,2024-07-20,4,Brut,1672,61.11,102175.92
33,2023-10-27,5,Brut,3087,83.68,258320.16
34,2024-12-15,4,Brut,789,89.05,70260.45
35,2023-05-10,3,Gaz naturel,2728,92.13,251330.64
36,2024-10-15,1,Brut,2813,83.6,235166.8
37,2024-05-17,6,Condensats,4678,66.69,311975.82
38,2023-04-16,3,Condensats,2384,80.64,192245.76
39,2023-01-13,2,Condensats,4336,91.91,398521.76
40,2024-08-10,4,Condensats,2083,72.27,150538.41
41,2023-10-19,4,Brut,2169,93.37,202519.53
42,2024-04-25,2,Condensats,2746,63.42,174151.32
43,2024-05-05,3,Gaz naturel,1147,85.48,98045.56
44,2024-03-27,1,Condensats,3654,64.2,234586.8
45,2023-12-15,6,Brut,765,87.96,67289.4
46,2023-07-08,3,Condensats,3988,63.42,252918.96
47,2023-02-22,5,Gaz naturel,3417,71.4,243973.8
48,2023-09-16,6,Brut,3278,87.19,285808.82
49,2024-05-04,3,Brut,518,76.11,39424.98
50,2023-04-27,1,Brut,4101,90.89,372739.89
51,2023-03-08,4,Condensats,4966,74.06,367781.96
52,2024-02-15,3,Condensats,3594,94.82,340783.08
53,2024-05-18,2,Brut,4327,60.65,262432.55
54,2023-03-17,1,Condensats,1142,84.36,96339.12
55,2024-08-13,4,Gaz naturel,2045,92.06,188262.7
56,2024-10-06,1,Brut,2926,78.76,230451.76
57,2024-12-03,6,Gaz naturel,1316,94.6,124493.6
58,2023-02-24,2,Gaz naturel,3371,84.78,285793.38
59,2023-06-05,6,Condensats,2637,75.03,197854.11
60,2023-06-02,6,Condensats,2691,78.04,210005.64
61,2024-07-30,5,Brut,3168,90.71,287369.28
62,2023-11-08,1,Gaz naturel,1363,93.52,127467.76
63,2023-03-29,1,Condensats,4799,79.46,381328.54
64,2023-09-12,3,Gaz naturel,4127,70.75,291985.25
65,2023-05-02,2,Condensats,4091,68.38,279742.58
66,2024-07-25,2,Gaz naturel,3872,76.7,296982.4
67,2024-03-02,5,Brut,2430,70.37,170999.1
68,2024-09-12,2,Condensats,2700,74.73,201771.0
69,2024-09-02,1,Brut,1028,89.21,91707.88
70,2024-09-25,5,Gaz naturel,4562,76.52,349084.24
71,2023-08-20,2,Gaz naturel,4934,82.43,406709.62
72,2024-06-19,5,Brut,4083,63.15,257841.45
73,2024-01-25,2,Gaz naturel,2032,86.67,176113.44
74,2024-04-06,2,Condensats,1055,76.9,81129.5
75,2024-03-29,3,Condensats,4392,72.63,318990.96
76,2023-11-01,2,Gaz naturel,3300,81.38,268554.0
77,2024-08-25,5,Gaz naturel,1430,63.57,90905.1
78,2024-03-15,1,Gaz naturel,3098,74.49,230770.02
79,2023-11-09,3,Gaz naturel,4693,88.38,414767.34
80,2024-08-05,2,Condensats,1292,69.17,89367.64
81,2024-09-27,2,Condensats,2969,91.99,273118.31
82,2023-03-03,5,Gaz naturel,4535,81.13,367924.55
83,2024-09-16,3,Brut,4675,78.93,368997.75
84,2023-04-12,2,Brut,4883,73.98,361244.34
85,2023-08-01,1,Condensats,3394,85.97,291782.18
86,2024-10-02,6,Brut,2269,79.76,180975.44
87,2023-08-05,1,Gaz naturel,4417,87.88,388165.96
88,2023-09-28,2,Brut,3650,71.61,261376.5
89,2024-11-07,1,Condensats,4666,84.57,394603.62
90,2023-03-25,3,Gaz naturel,4858,93.02,451891.16
91,2023-06-10,2,Gaz naturel,1211,69.8,84527.8
92,2023-09-03,5,Condensats,3077,94.34,290284.18
93,2023-06-27,3,Brut,4805,74.37,357347.85
94,2024-07-19,1,Condensats,4550,61.35,279142.5
95,2023-03-18,2,Condensats,2664,72.52,193193.28
96,2023-06-10,3,Brut,3648,65.24,237995.52
97,2023-01-03,1,Gaz naturel,4910,70.65,346891.5
98,2024-02-23,2,Brut,2446,63.36,154978.56
99,2024-04-06,6,Brut,2072,66.24,137249.28
100,2024-12-06,4,Gaz naturel,4856,64.43,312872.08
101,2024-08-31,5,Gaz naturel,4145,61.52,255000.4
102,2024-04-26,1,Condensats,699,70.37,49188.63
103,2023-10-26,6,Brut,2877,92.93,267359.61
